State,City,Place,Distance,Place_desc,Distance_km
jammu & kashmir,srinagar,stay in a houseboat, 6 out of 41  places to visit in Srinagar ,"staying in a houseboat amidst pristine waters of the dal lake, is one of the most essential things to do in srinagar. made in wood and adorned in a typical kashmir style decor, the houseboats are a perfect way to experience the quintessential local life in the luxurious way.",6.0
jammu & kashmir,srinagar,nishat bagh, 9 km  from city center ,"the nishat bagh is a 12 terraced garden which is the second-largest mughal garden in kashmir after shalimar bagh. it has a splendid mughal central water channel with several fountains, which is surrounded by tall chinar trees.",9.0
jammu & kashmir,srinagar,nigeen lake, 5 km  from city center ,nigeen lake is renowned for its pristine waters and stunning ambience. it is located next to dal lake but is much smaller in size. it is one of the best places in the city to catch the sunrise and sunset thanks to the beautiful landscape and willow and poplar trees surrounding it.,5.0
jammu & kashmir,srinagar,hot air balloon in srinagar, 4 km  from city center ,"hot air balloon is now available in srinagar at the zabarwan park. it provides breathtaking view of dal lake, zabarwan park and the srinagar city. each hot air balloon can accommodate 4 people at a time. the ride lasts 10 minutes and goes up to 28-32 feet. there is generally a 1 hour waiting time.",4.0
jammu & kashmir,srinagar,chashm-e-shahi, 8 km  from city center ,"chashme shahi is one of the three mughal gardens in srinagar. it is a terraced garden dotted with walkways, colourful plants and pools of water. it is famous for its natural spring known as rupa bhawani.",8.0
jammu & kashmir,srinagar,pari mahal, 7 km  from city center ,"the house of fairies or pari mahal is a historic monument placed above the beautiful chashma shahi gardens near srinagar. a well-laid spacious garden surrounds this structure, which was once a buddhist monastery and later served as a school of astrology promoted by the eldest son of shah jahan, dara shikoh.",7.0
jammu & kashmir,srinagar,hazratbal shrine, 53 km  from city center ,"the hazratbal shrine is the holiest muslim shrine and mosque in kashmir. it houses a relic known as moi-e-muqqadas which is believed to be a sacred hair of prophet muhammad's beard. situated on the banks of dal lake facing the nishat bagh, it affords a picturesque view of the lake and surrounding mountains.",53.0
jammu & kashmir,srinagar,hari parbat, 3 km  from city center ,"the majestic mountain overlooking the city of srinagar is called hari parbat. besides the famous hari parbat fort, the mountain also has various hindu and muslim shrines and even a gurudwara here. this park was open to public visitation only in 2014.  today, visitors can set up picnics here. the fort is in turn fortified by mountains and water bodies.",3.0
jammu & kashmir,srinagar,sinthan top, 86 km  from city center ,"a mountain pass in the pir panjal mountain ranges, sithan top is found along the national highway of kokernag-sinthan top-kishtwar road. this pathway connects jammu and kashmir. the snow-laden hilltop is lately emerging as a new tourist destination owing to the beautiful views and the idyllic setting. it is also popular for mountaineering, trekking and skiing.",86.0
jammu & kashmir,srinagar,char chinar, 7 km  from city center ,"char chinar is an island in the dal lake of srinagar, surrounded by the chinar trees on all four sides of it. also known as char chinari (char chinari means four sides) and rupa lank, it was constructed by murad baksh, the brother of mughal emperor aurangzeb. the char chinar is best explored during a shikara ride in the dal lake.",7.0
jammu & kashmir,srinagar,sps museum, 2 km  from city center ,"sps museum is situated at lal mandi in srinagar and is popular for its had crafted products and notable archaeological artefacts collected from across the state. the museum has been divided into separate sections including archaeology, manuscripts, enamel ware, decorative art, natural history, paper mache and the like.",2.0
jammu & kashmir,srinagar,yusmarg, 31 km  from city center ,"at a distance of 47 kms from srinagar, yusmarg is the quietest place out of all tourist destinations in kashmir which is also an amazing trek spot. it is one of the most romantic places in the state.",31.0
jammu & kashmir,srinagar,salim ali national park, 18 out of 41  places to visit in Srinagar ,"located in srinagar, salim ali national park is a national park housing beautiful mangrove shrubbery habitat for several endangered animals and birds alike. officially named in commemoration of ornithologist salim ali in 1986, this national park is spread across an expanse of 9 km.",18.0
jammu & kashmir,srinagar,paragliding in srinagar, 19 out of 41  places to visit in Srinagar ,"paragliding is one of the most exciting activities that you can experience in srinagar. most of the adventure clubs let you experience the thrills of paragliding. besides giving you a major adrenaline rush, it also let's you have a gorgeous bird's eye view of the valley below. if you are an adventure junkee, you should especially try this one out.",19.0
jammu & kashmir,srinagar,jamia masjid, 5 km  from city center ,"jamia masjid is a 600-year-old mosque in srinagar, located in the nowhatta area amidst the bustle of local bazaars. the tranquil mosque is known for its unique architecture, the highlight being the 378 wooden deodar pillars. the mosque becomes especially crowded on fridays.",5.0
jammu & kashmir,srinagar,badamwari garden, 4 km  from city center ,"situated at the foothills of hari parbat in srinagar, the badamwari gardens are known for their bloom of stunning almond flowers. these flowers bloom around march, marking the arrival of the spring season. badamwari garden is open to the public from 21 march 2022 till the blooms last.",4.0
jammu & kashmir,srinagar,dastgeer sahib, 2 km  from city center ,"a sufi shrine in khanyar, srinagar, dastgeer sahib is dedicated to sheikh syed abdul qadir jelani. the shrine is known for housing the hair strand of hair strand of abdul qadir gilani and  the old quran written by ali ibn abi talib as.",2.0
jammu & kashmir,srinagar,challi point, 4 km  from city center ,"challi point is one of the most trendy and popular places in srinagar. with the dal lake in the backdrop, this place bustles with both tourists and locals spending some enjoyable time amidst breathtaking sceneries.",4.0
jammu & kashmir,srinagar,nehru garden, 5 km  from city center ,"providing the best view of the dal lake is nehru garden, a botanical garden in srinagar. it was built in 1969 in the memory of pandit jawaharlal nehru. the nehru garden is popular for housing a collection of rare kashmiri tropical plants. other things to see include 15000 ornamental plants and a collection of oak trees.",5.0
jammu & kashmir,srinagar,burzhama ruins, 11 km  from city center ,"burzhama ruins is situated in burzahom in srinagar. it is archaeological excavation site where numerous relics and remnants have been discovered suggesting the existence of an ancient settlement hundreds of years before. the excavations include skeletons, pottery, dwelling pits, mud brick houses and bone and stone tools.",11.0
jammu & kashmir,srinagar,kheer bhawani temple, 17 km  from city center ,"situated in tul mulla village near srinagar, kheer bhavani temple is dedicated to hindu goddess bhavani- the incarnation of goddess parvathy. the temple was originally named bhavani mandir but eventually came to be known as kheer bhavani due to the delicious rice pudding offered as prasad. it is built over a holy water spring in between tall chinar trees.",17.0
jammu & kashmir,srinagar,tarsar marsar trek, 33 km  from city center ,"a trek that not only gives you a thrill of adventure but also a glimpse of nature’s beauty so spell bounding is one of the most memorable trips of tarsar marsar trek. nestled in the lap of aru valley of kashmir, the trail is of quite a magnificence adorned with variety of landscapes.",33.0
jammu & kashmir,srinagar,apple orchards, 12 km  from city center ,"srinagar is counted among the most beautiful places of india owing to its lush green orchards, free flowing rivers and paradisal locales. also, 80% of the country's apple supplies are managed from here. so, visit the emerald carpeted meadows full of green trees sprinkled with shiny red apples and let the picture perfect scene be etched in your memory forever.",12.0
jammu & kashmir,srinagar,dachigam national park, 23 km  from city center ,"situated 22km from the main town of srinagar, dachigam national park is known for housing rare kashmir stag which is the only species of red deer in india. other animals that can be spotted here includes himalayan brown bear to pygmy owlets to the predators, the leopards.",23.0
jammu & kashmir,srinagar,tulip festival in srinagar, 30 out of 41  places to visit in Srinagar ,the indira gandhi memorial tulip garden in srinagar holds south asia's largest tulip festival in the months of april - may near dal lake. it is nestled at the foothills of zabarwan range in srinagar which provides the grandeur of the dal lake.,30.0
jammu & kashmir,srinagar,city shopping, 4 km  from city center ,"srinagar is the place to shop for all that kashmir is famous for. essentials include cashmere shawls, leather products, carpets, rugs, mats, dry fruits and more.",4.0
jammu & kashmir,srinagar,makhdoom sahib shrine, 3 km  from city center ,"located towards the south of hari parbat in srinagar, makhdoom sahib shrine is an islamic shrine dedicated to sufi saint sheikh hamza makhdoom aka makhdoom saheb aka hazrat sultan aka mehboob-ul-alam aka sultan-ul-arifeen. built in mughal style architecture, the sturdy shrine rests on innumerous pillars and is thronged by pilgrims all through the year.",3.0
jammu & kashmir,srinagar,charar-i-sharif, 25 km  from city center ,"charar-i-sharif is a muslim shrine dedicated to hazrat sheikh noor-ud-din wali, situated around 30 kms from srinagar and built around 600 years ago. sheikh wali was the first person to preach rishism in the valley and propagated non-violence, vegetarianism, communal harmony and tolerance. his remains were buried at this shrine and ever since it holds significant religious importance.",25.0
jammu & kashmir,srinagar,floating vegetable market, 34 out of 41  places to visit in Srinagar ,"srinagar is also popular for its floating vegetable markets where vegetable and fruits are sold around in the waters on the shikara. more than a sell-purchase transaction, it is an interesting place to visit for sightseeing. one of the most unique things to do in srinagar, these markets are run at the corner of the dal lake and besides the regular traders and buyers, they attract a whole lot of tourists.",34.0
jammu & kashmir,srinagar,wular lake, 37 km  from city center ,"the famed wular lake is india's largest freshwater lake. an experience unparalleled, it is home to several species of birds and thus haven for bird watchers. it is also popular for boating, water sports and water skiing",37.0
jammu & kashmir,srinagar,baramulla, 44 km  from city center ,"a famous tourist destination located close to srinagar, baramulla's charm lies in its untouched beauty. enveloped by the himalayas on all sides and resting on the banks of the river jhelum, this city has been endowed with a quietly scenic landscape.",44.0
jammu & kashmir,srinagar,chinar park, 2 km  from city center ,"chinar park is a recent addition to the tourism scene in srinagar. housing three island, old chinar trees, flowers, musical fountains, kiosks, an open air theater for cultural programs and swings, the park is quickly making its way to the list of favorites of the town.",2.0
jammu & kashmir,srinagar,khanqah of shah hamdan, 2 km  from city center ,"built on the sandy banks of the jhelum river in srinagar, is the khanqah of shah hamda. it is bustling with activity and people on the sixth day of dul-haj (the last month of the islamic lunar calendar), on the death anniversary of mir syed ali hamdani.",2.0
jammu & kashmir,srinagar,anantnag, 51 km  from city center ,"the capital of commerce of j&k, anantnag is filled with hot springs, lakes, temples and shrines. the place is known for its religious tolerance and there are shrines that belong to both the hindus and the muslims.",51.0
jammu & kashmir,srinagar,chatti padshahi gurudwara, 3 km  from city center ,"situated right out the hari parbat's southern gate in srinagar, chatti padshahi gurudwara is the most important and probably the largest sikh gurudwara in all of kashmir valley. the shrine has a sanctum sanctorum in middle of a large rectangular hall. it also has accomodation facilities and langar food is offered to all visitors every day of the year.",3.0
jammu & kashmir,srinagar,kathi darwaza, 3 km  from city center ,"kathi darwaza is the main entrance gate of the famous monument hari parbat fort in srinagar. a rare specimen of mughal architecture, the high domed gate is flanked by bays and has tiny mughal and persian inscriptions etched on the interior walls and ceilings. the gate, no doubt, accentuates the grandeur and splendour of the fort.",3.0
sikkim,gangtok,nathu la pass, 23 km  from city center ,"this is a pass which connects tibet with sikkim at a height of 4310 m. nathu la pass was once the part of the ancient silk route. to visit this place, one need to collect a permit from gangtok and only indian citizens are permitted to see the indian side of the pass and that too just on wednesdays, thursdays, saturdays and sundays.",23.0
sikkim,gangtok,mg road, 2 km  from city center ,"mg road is the heart of gangtok and its most happening place. it is the central shopping hub of this beautiful state capital with various shops, restaurants, and hotels lined up along both sides.",2.0
sikkim,gangtok,rumtek monastery, 7 km  from city center ,this monastery is situated 24 km from gangtok and is considered to be of the most sacred monasteries in buddhism. the most sacred traditional buddhist rites are performed in this very building and the religious significance of rumtek monastery has attracted devotees and tourists from all over the world.,7.0
sikkim,gangtok,tsomgo lake, 16 km  from city center ,the tsongmo lake is situated 35 km away from the main town of gangtok. the lake has been considered as holy and been worshipped by sikkimese people since years.,16.0
sikkim,gangtok,ganesh tok, 1 km  from city center ,ganesh tok is a ganesh temple located 7 km from gangtok at an altitude of 6500 m. the temple is so small that it can accommodate only one person at a time and one has to crawl to reach there.,1.0
sikkim,gangtok,namgyal institute of tibetology, 1 km  from city center ,"the museum, housed in a traditional tibetan-style mansion, boasts a jaw-dropping collection of artefacts related to vajrayana buddhism and the tibetan culture. the main aim of the museum is to promote scholastic and cultural research. the museum displays buddhist manuscripts, icons, thangkas, which are tibetan cloth paintings and some tantric ritual objects, such as a thê_pa, which is a bowl made from a human skull and the kangling, which is a human thighbone trumpet. the museum also houses ritual objects, jewellery, mementos, books and documentaries on sikkimese tradition and culture.",1.0
sikkim,gangtok,kanchenjunga, 58 km  from city center ,"the third highest peak in the world, the majestic kanchenjunga is one of the most stunning mountains in the world. surrounded by nepal, sikkim and tibet, this mountain was fisrt scaled in 1955 but since then has been declared sacred.

kanchenjunga' is a tibetan name which means 'the five treasures of the high snow'. the treasures represent the five repositories of god, namely gold, silver, gems, grain and holy books. there are a lot of trekking routes in kanchenjunga which will take you through woody forests and serene countryside.",58.0
sikkim,gangtok,baba mandir, 1 km  from city center ,"situated on the road passing between nathula and jelepla pass, baba mandir is the shrine which was built at the samadhi of baba harbhajan singh. people worship him as a saint who guards the lives of soldiers along the border.",1.0
sikkim,gangtok,mangan, 14 km  from city center ,"the town of mangan, situated in the northern part of sikkim is a major tourist attraction for trekking, monasteries and its yumthang valley.",14.0
sikkim,gangtok,himalayan zoological park, 3 km  from city center ,"himalayan zoological park is located in bulbuley, 3 km away from gangtok and is definitely the place for all the wildlife lovers. with an altitude of 1780 meters, one gets an amazing view of the mount khangchendzonga from here.",3.0
sikkim,gangtok,reshi hot springs, 0 km  from city center ,"sikkim has numerous hot springs, but the reshi hot spring is the most famous one due to its strategic location and the religious significance that it holds. easily accessible, the spring is present right after a downhill drive of an hour towards the rangit river valley.",0.0
sikkim,gangtok,kabi longstok, 5 km  from city center ,"situated at a distance of 17 km from the northern capital of gangtok is the kabi town which is considered to be a historical place due to the initiation of the sikkimese history here in the early 13th century. with the wonderful stories that this place holds, this place is surely going to captivate you with its wonderful beauty.",5.0
sikkim,gangtok,seven sisters waterfalls, 11 km  from city center ,"justifying its name, seven sisters waterfalls comprises of seven different waterfalls amicably arranged side by side on a wide rugged cliff which seems distinct when looked at from a distance. this famous waterfall is situated at a distance of 32 kilometres from gangtok on the gangtok-lachung highway.",11.0
sikkim,gangtok,tinkitam, 29 km  from city center ,"tinkitam rayong is a petite village in sikip tehsil in south district of sikkim state with mount kanchenjanga in the backdrop of this town and its natural habitat supporting a rare species of orchid, paphiopedilum faireanum or ladys slipper.",29.0
sikkim,gangtok,flower exhibition centre, 1 km  from city center ,flower exhibition centre showcases flowers from the different parts of sikkim together under a single roof which makes it a heaven for all the nature lovers.,1.0
sikkim,gangtok,do drul chorten, 3 km  from city center ,"one of the most important stupas in sikkim, do drul chorten was built in the year 1945 under the supervision of late truslshi and rimpoche. the stupa has around 108 mani lhakor or prayer wheels.",3.0
sikkim,gangtok,saramsa garden, 7 km  from city center ,"saramsa garden, also known as ipecac garden, is indeed a treat for your senses. the exquisite range of different coloured flowers with the surrounding lush greenery is going to hold your attention. there is a large greenhouse in the garden as well which preserves a range of orchids.",7.0
sikkim,gangtok,hanuman tok, 2 km  from city center ,hanuman tok is a very famous temple of gangtok which is named after lord hanuman and is a maintained by the indian army. the temple also gives an amazing view of the kanchenjunga peak which is the third highest peak in the world.,2.0
sikkim,gangtok,paragliding, 19 out of 33  places to visit in Gangtok ,"paragliding is one of the thrilling things to do in gangtok and one activity that you must definitely experience. the place lets you try your hand at the opportunity with the help of a professional trainer and with complete safety measures. besides giving you a very amazing adrenaline rush, the activity lets you have a bird's eye view of the beautiful city.",19.0
sikkim,gangtok,tashi view point, 4 km  from city center ,"situated 8 km away from the main town of gangtok, tashi viewpoint is a scenic beauty from where travellers can get a view of the magnificent mount sinilochu and mount kanchenjunga. this spot also serves as an amazing picnic place for local as well as foreign tourists due to the presence of a cafeteria and sheds bordering the site of the viewpoint.",4.0
sikkim,gangtok,tsuk la khang monastery, 0 km  from city center ,"situated in the complex of the royal palace, tsuk la khang is the prime place of worship for the local buddhists residing in the region. this beautiful two-storied structure with mural covered interiors also comprises of a large collection of scriptures, is decorated with altars and images of lord buddha, and tantric deities.",0.0
sikkim,gangtok,shingba rhododendron sanctuary, 0 km  from city center ,"nestled in the exquisite yumthang valley in north sikkim, the shingba rhododendron sanctuary is a beautiful place to spend time amidst the picturesque location and natural beauty all around. the adventure lovers can also have their share of fun by trekking through the yumthang valley.",0.0
sikkim,gangtok,banjhakri falls, 1 km  from city center ,"a new sightseeing destination for the tourists and spread over an area of two acres of land, the banjhakri falls is situated at a distance of 10-12 kilometres from gangtok. beautifully landscaped gardens are present around the waterfall along with beautiful statues of lyam lymay, mangpas, lepcha, and ban jhakri ancestors.",1.0
sikkim,gangtok,ranka monastery, 2 km  from city center ,"also known as lingdum monastery, the ranka monastery which follows the zurmang kagyud lineage of buddhism is situated at a distance of 20 km from gangtok. it is spread over a vast area and provides terrific scenic views to the tourists.",2.0
sikkim,gangtok,enchey monastery, 1 km  from city center ,"enchey monastery meaning 'the solitary temple' is a holy pilgrimage spot for the buddhists situated in a magical wonderland surrounded by natural beauty. the presence of tall pine trees, flower meadows and the beautiful view of the kanchenjunga hills, gives the devotees a feeling of being in the middle of a serene and blessed environment.",1.0
sikkim,gangtok,saga dawa, 26 out of 33  places to visit in Gangtok ,"the saga dawa festival is one of the most important festivals for the people of sikkim celebrated with much enthusiasm in the capital city gangtok. the mahayana buddhist tradition recognizes the full moon day of the fourth month of the buddhist calendar as the anniversary of buddha's birth, his enlightenment, and his nirvana. the day is celebrated by various names across india and abroad.",26.0
sikkim,gangtok,international flower festival in gangtok, 27 out of 33  places to visit in Gangtok ,"the international flower show is held in gangtok every year. several beautiful species of flowers are showcased here, such as orchids, gladioli, roses, cacti, alpine plants, creepers, climbers, ferns, herbs etc. also, lectures and seminars are held in which renowned botanical scientists come over to speak. the festival takes place throughout may and is a primary source of attraction among the tourists as well as the local inhabitants. the flower show is also accompanied by a food festival, where one may try several local delicacies.",27.0
sikkim,gangtok,gangtok ropeway, 57 km  from city center ,"known to be one of the top thrilling things to do in gangtok, gangtok ropeway breathtaking bird’s eye view of the valley below. inaugurated in 2003, the double cable zig back ropeway can carry up to 24 passengers and covers a distance of 2 km to and fro. usually, the cable cars are full, and you have to wait in line for your turn, but the gorgeous views of the kanchenjunga peaks is totally worth the wait. also, since there are no seats inside the cable car, so to obtain a good view standing seat (next to the glass pane), you will have to try and get in first.",57.0
sikkim,gangtok,yak safari, 29 out of 33  places to visit in Gangtok ,"experiencing yak ride is one of the most essential activities and unique things to do in gangtok. you can experience the joyride in any one of the three places where the activity is organized. you can try it at dzongri area and/or tsomgo lake. never forget to leave the saddle or you disbalance and are on the ground in no time. nevertheless, it is one of the most fun experiences that you will try in your life.",29.0
sikkim,gangtok,mountain biking in gangtok, 30 out of 33  places to visit in Gangtok ,"another one of the thrilling activities and things to do in gangtok is riding a mountain bike in the hills and valleys. other than giving you a high adrenaline rush, mountain biking lets you take a peek into the unexplored and un-commercialized part of the city. the thrilling ride takes you through the best of forests and valleys, rivers, waterfalls and lakes.",30.0
sikkim,gangtok,9’ine native cuisine, 2 km  from city center ,"9’ine native cuisine is a dainty cafe located in the suburbs of gangtok catering to asian, tibetan and nepalese cuisines. especially popular for its sumptuous tibetan food, the cafe is a very famous hangout spot and visiting here is one of the prime things to do in gangtok. besides delicious food, the cafe also offers picturesque views of the hills and valleys outside.",2.0
sikkim,gangtok,baker's cafe, 1 km  from city center ,"baker's cafe is one of the most popular and picturesque cafe in gangtok. the western styled cafe also serves delicious western food.  you can gorge on pizza and pasta while sipping super tasty shakes and beverages. besides, the cafe is done up in shades of brown with tons of cutesy artsy bakery products on display that will compel you to eat twice as much as you're hungry. plus, the window seats offer mesmerizing views of the majestic hills outside.",1.0
sikkim,gangtok,phodong monastery, 9 km  from city center ,"located in phodong near gangtok in sikkim, phodong monastery is one amongst the six most important buddhist monasteries in the state. besides being a popular place of tourism, the monastery is a very important place of buddhist pilgrimage. boasting of a striking architecture with vibrant coloured exteriors and delicate interiors that are adorned with gorgeous paintings, murals and frescoes, the monastery is also considered one of the most beautiful in all the country. it houses a total of around 260 monks at present.",9.0
kerala,munnar,munnar tea plantations, 1 out of 48  places to visit in Munnar ,"perched at several feet over the sea level and boasting of misty skies above and green carpeted fields below, these splendid tea gardens in munnar are a must-visit for every traveller. sprawling over vast acres of lands, the umpteen tea plantations are sure to lure you with their bewitching beauty and charm.",1.0
kerala,munnar,atukkad waterfalls, 1 km  from city center ,"nestled 2 km away from munnar amidst beautiful hills and lush green jungles, this pristine waterfall makes for romantic escapades and picnics site. however, the road to atukkad is very narrow and needs a lot of experience to drive on. the pool formed at the base of the waterfall is suitable for taking a dip!",1.0
kerala,munnar,soak the vibe of rose garden, 7 km  from city center ,"the rose gardens of munnar, spread over 2 acres of land, is an excellent stretch that is brimming with a variety of plants, including spices, crops like cardamom and vanilla, and a variety of other fruit trees. you can also buy seeds of flowering plants from here.",7.0
kerala,munnar,tata tea or kdhp museum, 1 km  from city center ,"located in the nallathanni estate of tata tea, the kdhp museum is a tea museum housing old machinery used for tea processing, photographs and other memorabilia. the museum showcases the transformation of munnar into a tea land.",1.0
kerala,munnar,sunset at pothamedu view point, 2 km  from city center ,"pothamedu view point, situated 6 km off munnar, is adorned with stretching hills and lush green mountains. one can witness the spectacular wide views of tea, coffee and cardamom plantations of the area. trekkers and hikers would love the adrenaline rush of this place.",2.0
kerala,munnar,picnc at mattupetti dam, 7 km  from city center ,"mattupetty dam, situated 13 km off munnar at 1700m above the sea level, is highly famous for the indo-swiss live stock projects. this picnic spot is also popular among its visitors for various activities like speed boating and horse riding.",7.0
kerala,munnar,witness a combat at kalari kshethra, 7 km  from city center ,"kalari kshethra is the centre of the oldest form of martial arts, kalarippayattu and the traditional form of indian classical dance, kathakali. the centre conducts performances, workshops and classes but is famous for the kathakali and kalarippayattu show held every day.",7.0
kerala,munnar,munnar jeep safari, 8 out of 48  places to visit in Munnar ,"the jeep safari in munnar takes visitors through the many attractions of munnar including its sprawling plantations, forests and valleys, providing glimpses of the region’s diverse flora and fauna. kolukkumalai, kannan devan hills, lock heart gap and chinnar wildlife sanctuary are some of the popular attractions explore on the safari.",8.0
kerala,munnar,witness the neelakurinji blooming spectacle at top station, 21 km  from city center ,"top station is the highest point in munnar at 6276 ft. it is the top place to visit in munnar to enjoy the panoramic view of the majestic western ghats and valley of theni district of tamil nadu. every 12 years, the rare neelarkunji flowers bloom here.",21.0
kerala,munnar,pose at the photo point, 8 km  from city center ,"photo point is located on the way to the madupetty dam. it is a picturesque site perched atop the low rolling slopes and undulating plains of nilgiris in munnar. in the backdrop of the stretches of tea gardens, this point serves as an excellent photographic opportunity.",8.0
kerala,munnar,eravikulam (rajamalai) national park, 13 km  from city center ,"located a 45-minute drive away from munnar, the eravikulam national park (also known as rajamalai wildlife sanctuary) is a unesco world heritage site. elephant, nilgiri langur, nilgiri marten, atlas moth (largest in the world), lion-tailed macaque, small-clawed otter, and a rare tiger or leopard are some of the main animal species that can be spotted here.",13.0
kerala,munnar,spend a day at wonder valley adventure and amusement park, 7 km  from city center ,"wonder valley is an adventure and amusement park with facilities for rock climbing, paint ball, rope course and a video arcade. it is a perfect attraction for adventure freaks and for those who want to face and get rid of their fears. there's no age bar and the activities are designed for children, as well as for adults.",7.0
kerala,munnar,spa & massages in munnar, 13 out of 48  places to visit in Munnar ,"taking and ayurvedic spa and/or a massage in the hills is the best form to rejuvenate and relax. the hill town is best known for its ayurvedic massages and you can choose from shirodhara, deep tissue massage or a balinese massage.",13.0
kerala,munnar,meet the wildlife at anamudi peak inside eravikulam national park, 13 km  from city center ,anamudi or anai mudi peak in munnar is well known to be the home for the largest surviving population of asian elephants in india. the peak itself is within the boundaries of the eravikulam national park and is a famous trekking destination. it is also famous for the neela kurinji flower which is known to blossom only once every 12 years.,13.0
kerala,munnar,kundala dam & lake, 20 km  from city center ,situated in the laps of the lush jungle is kundala dam & lake laying 23 km off munnar. this arch dam is famous for its kashmiri-shikara boat rides and pedal boat rides. the area also has cherry blossom trees that bloom twice a year.,20.0
kerala,munnar,tree houses in munnar, 16 out of 48  places to visit in Munnar ,"staying in a tree house is emerging to be the new vacation thing and it is definitely going to be one of the most exotic experiences of your life. located amidst lush green spice plantations and tea estates, living here is one of the most unique things to do in munnar.",16.0
kerala,munnar,shout out at the echo point, 11 km  from city center ,"echo point is well known for its enthralling illustration of the phenomenon of echoing. as you scream, it is fun to hear your voice reverberate around the attraction again and again. it is surrounded by three mountain ranges, mudrapuzha, nallathanni, and kundala. boating is popular here.",11.0
kerala,munnar,chokramudi peak, 8 km  from city center ,"located in the eravikulam national park at an altitude of 7200 feet, chokramudi peak is one of the highest peaks in munnar. it is quite isolated from the range but provides a fabulous view of the surrounding valleys & mountains covered with stunning dense forestation and the lush green tea plantations. one can also get a beautiful view of the idukki dam located nearby.",8.0
kerala,munnar,sunset over the lock heart gap, 12 km  from city center ,"named so because it looks like a locked heart, lock heart gap is a viewpoint in munnar famous for a breathtaking view of the surrounding valleys, mountains, the tea plantations and its thrilling trekking trails through the densely covered, cloudy, misty terrain. the view from the top during sunsets are a must-see.",12.0
kerala,munnar,wet your toes by the cheeyappara waterfalls, 25 km  from city center ,"situated close to valara falls is another beautiful waterfall known as cheeyappara waterfalls. these falls serves as a major attraction of the region cascading over seven steps. one can easily reach the place by a bus, taxi or auto rickshaw.",25.0
kerala,munnar,trek & camp in chinnar wildlife sanctuary, 29 km  from city center ,"being one of twelve wildlife sanctuaries among the protected areas of kerala, the chinnar wildlife sanctuary houses species like grizzled giant squirrel, gaur, spotted deer, tufted grey langur, slender loris, crocodile, wild elephant, tiger, leopard and many birds.",29.0
kerala,munnar,marayoor, 23 km  from city center ,"located just 40 kilometres away from munnar is marayoor, which is famous for its naturally growing sandalwood forest and dolmens from the stone age civilisation. wrapped in a wispy blanket of glorious clouds, marayoor has hamlets, sugarcane fields, waterfalls, and bamboo forests making it an enchanting landscape of exquisite green beauty.",23.0
kerala,munnar,meesapulimala, 16 km  from city center ,"the second highest peak in southern india, meesapulimala is situated at an elevation of 2641 meters above sea level. an ideal spot for trekking, the starting point of the trek is either rhodovalley or silent valley which lies 6 km before rhodovalley. after trekking for about 8 km from rhodovalley, one gets to witness the grasslands, wildlife, rainforests, and small waterfalls. amidst the lush green valleys and hundreds of rhododendrons, tea estates, and bubbling streams, peace is what one gets to experience here in its purest form making it a must-visit destination for all the nature as well as adventure lovers out there. also, considered as a hotspot of diversity, meesapulimala has been recognised as a unesco world heritage site.",16.0
kerala,munnar,indo swiss dairy farm, 1 km  from city center ,indo swiss dairy farm is a cattle development and research centre that spreads over an area of 469 acres of lush green grasslands and is home to a variety of high-quality cattle. the farm rears about 400 heads of cattle and is the headquarter of the indo-swiss livestock project that was launched in 1963 on mutual agreement between the swiss and the indian government.,1.0
kerala,munnar,lakkom water falls, 23 km  from city center ,this small little waterfall 25 km from munnar is a part of eravikulam stream of eravikulam national park. it is one of the main tributaries of pampar river and is ideal for swimming in privacy.,23.0
kerala,munnar,spend an evening at the blossom park, 2 km  from city center ,"spread across a lush expanse of 18 acres, blossom park is famous for its activities such as water cycling, boating and skating. it is covered with a wide variety of flora and has romantic little provisions of tree houses and ropeways. it is located at a mere distance of 3 km from munnar.",2.0
kerala,munnar,pallivasal falls, 4 km  from city center ,pallivasal falls is a stunning natural water body in the midst of dense forestation. it is famous as a picnic and sightseeing attraction in munnar and draws nature lovers for soul-satisfying nature walks. the waterfall cascades down a rocky slope and doesn't quite have a height but the force it gushes with is sure to captivate one and all.,4.0
kerala,munnar,trekking, 34 km  from city center ,this place is a trekker''s paradise offering some of amazing trekking trails here. trekkers would love the trails from gap road to bison valley spices village and from pothamedu.,34.0
kerala,munnar,chinnakanal waterfalls, 14 km  from city center ,"flowing from a height of 800 m, chinnakanal waterfalls is a sight of sheer beauty. these falls lays just 16 km away from munnar.",14.0
kerala,munnar,sevenmallay tea estate, 0 km  from city center ,"established in 1900, sevenmallay tea estate is owned by the tata tea company. the estate sprawling over hundreds of acres of land is a like a paradise on earth. a quaint charming bungalow located right in the heart of the estate adds to the charm of the place. you can also buy tea produced at the estate-outlet.",0.0
kerala,munnar,mountain biking in munnar, 31 out of 48  places to visit in Munnar ,"mountain biking is undoubedtly one of the best things to do in munnar. the thrilling activity is taken up by localites and tourists alike as the picturesque areas like suryanelli, vandanmedu, anamudi shola, kundala, and marayoor can be best explored on these bikes. besides being a form of exercise, you can also wander about the beautiful tea estates without any fear of pollution or fuel availability.",31.0
